"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"56","278.14644054294683","124.59742851458996","0.01123046875","0.0205078125","0.001953125","2584","0.0009055530938823396","36","0.0009055530938823396","0","0.0009055530938823396","0.0009055530938823396","63:0.002384564403023981;43:0.002307819034086528","63:68;43:68","63:0.0024183453804128563;43:0.002287345085868725","0.01123046875","Yes"
"57","228.4358827385841","187.80446170662782","0.01953125","0.0185546875","0.0205078125","2584","0.000550667140984645","36","0.000550667140984645","0","0.000550667140984645","0.000550667140984645","47:0.0024099866982909834;67:0.002155396255296871","47:68;67:68","47:0.001496617021083002;67:0.002443027557046229","0.01953125","Yes"
"58","195.54347953200738","183.057984871157","0.02392578125","0.029296875","0.0185546875","2584","0.00020019224584382102","36","0.00020019224584382102","0","0.00020019224584382102","0.00020019224584382102","71:0.0021415660896072775;51:0.001791177306929348","71:68;51:68","71:0.0038939560274114937;51:0.003927530176708133","0.02392578125","Yes"
"59","176.16552464502897","220.9132895855187","0.011962890625","0.013671875","0.01025390625","2584","0.00018999777387751816","36","0.00018999777387751816","0","0.00018999777387751816","0.00018999777387751816","55:0.0018940600405011054;75:0.002547656700660733","55:68;75:68","55:0.0019063849978860348;75:0.0023182674291963024","0.011962890625","Yes"
"60","209.3325069683807","199.9080547745111","0.046142578125","0.04345703125","0.048828125","2584","0.00028537923677145416","36","0.00028537923677145416","0","0.00028537923677145416","0.00028537923677145416","61:0.005724726773826017","61:80","61:0.02447163941468053","0.046142578125","Yes"
"61","326.5981612289741","261.05272584157984","0.007080078125","0.01025390625","0.00390625","2584","0.00027646155637260894","36","0.00027646155637260894","0","0.00027646155637260894","0.00027646155637260894","76:0.0019200083401684775;60:0.005724726773826017;62:0.002716786928701226","76:68;60:80;62:68","76:0.001913191565285327;60:0.02447163941468053;62:0.0019150656778808561","0.007080078125","Yes"
"62","161.80816906430695","61.534926888464874","0.23876953125","0.45361328125","0.02392578125","2584","0.000558465644641121","36","0.000558465644641121","0","0.000558465644641121","0.000558465644641121","61:0.002716786928701226;63:0.0026227193169002516","61:68;63:68","61:0.0019150656778808561;63:0.0019560137980044467","0.23876953125","Yes"
"63","158.65368584510247","140.65982191484886","0.018798828125","0.02783203125","0.009765625","2584","0.0005784561396675869","36","0.0005784561396675869","0","0.0005784561396675869","0.0005784561396675869","56:0.002384564403023981;62:0.0026227193169002516;64:0.002985036439209804","56:68;62:68;64:68","56:0.0024183453804128563;62:0.0019560137980044467;64:0.0029538156809929272","0.018798828125","Yes"
"64","277.9226316289449","122.52550078802146","0.0087890625","0.01416015625","0.00341796875","2584","0.0007814131555950755","36","0.0007814131555950755","0","0.0007814131555950755","0.0007814131555950755","65:0.002846222721112429;63:0.002985036439209804","65:68;63:68","65:0.0027008459357327486;63:0.0029538156809929272","0.0087890625","Yes"
"65","272.561891345141","65.30513622653137","0.01708984375","0.02978515625","0.00439453125","2584","0.0002319725200052899","36","0.0002319725200052899","0","0.0002319725200052899","0.0002319725200052899","64:0.002846222721112429;66:0.002774433188187958;77:0.0022045129778301975","64:68;66:68;77:68","64:0.0027008459357327486;66:0.001898561990402059;77:0.0015328060836495572","0.01708984375","Yes"
"66","143.4564627930355","114.52268492434611","0.011474609375","0.02099609375","0.001953125","2584","0.0005832543447762626","36","0.0005832543447762626","0","0.0005832543447762626","0.0005832543447762626","65:0.002774433188187958;67:0.0026393847809711712","65:68;67:68","65:0.001898561990402059;67:0.0018329144839089595","0.011474609375","Yes"
"67","302.26753944415003","91.61057578363803","0.4267578125","0.1376953125","0.7158203125","2584","0.00022523163283611833","36","0.00022523163283611833","0","0.00022523163283611833","0.00022523163283611833","68:0.004095874490266133;57:0.002155396255296871;66:0.0026393847809711712","68:68;57:68;66:68","68:0.004166684052516079;57:0.002443027557046229;66:0.0018329144839089595","0.4267578125","Yes"
"68","154.16599071411773","36.45322981245446","0.009765625","0.0166015625","0.0029296875","2584","0.0006178589233536575","36","0.0006178589233536575","0","0.0006178589233536575","0.0006178589233536575","67:0.004095874490266133;69:0.002115198930743245","67:68;69:68","67:0.004166684052516079;69:0.0026475454617359007","0.009765625","Yes"
"69","141.71248926093924","67.80853862789868","0.028076171875","0.02783203125","0.0283203125","2584","0.0001861977608596556","36","0.0001861977608596556","0","0.0001861977608596556","0.0001861977608596556","78:0.0018448630008241762;68:0.002115198930743245;70:0.0019355161992810899","78:68;68:68;70:80","78:0.0026115182389842284;68:0.0026475454617359007;70:0.0016882910582845245","0.028076171875","Yes"
"70","174.75041638955858","21.006127444642154","0.008056640625","0.013671875","0.00244140625","2584","0.00016246359302216805","36","0.00016246359302216805","0","0.00016246359302216805","0.00016246359302216805","69:0.0019355161992810899;71:0.0016142329528669452","69:80;71:68","69:0.0016882910582845245;71:0.0016402679764193906","0.008056640625","Yes"
"71","168.2885837575273","147.91365364583268","0.008544921875","0.0166015625","0.00048828125","2584","0.0001900008014357755","36","0.0001900008014357755","0","0.0001900008014357755","0.0001900008014357755","72:0.0028185093969733954;58:0.0021415660896072775;70:0.0016142329528669452","72:68;58:68;70:68","72:0.003561779292648559;58:0.0038939560274114937;70:0.0016402679764193906","0.008544921875","Yes"
"72","149.05259763771204","56.99069899522958","0.01513671875","0.0302734375","0","2584","0.0008038568749588282","36","0.0008038568749588282","0","0.0008038568749588282","0.0008038568749588282","73:0.0023776547312404084;71:0.0028185093969733954","73:68;71:68","73:0.004903707060865736;71:0.003561779292648559","0.01513671875","Yes"
"73","197.394438904256","131.85814209443214","0.0146484375","0.02734375","0.001953125","2584","0.0005250583018051124","36","0.0005250583018051124","0","0.0005250583018051124","0.0005250583018051124","72:0.0023776547312404084;74:0.002454453792756911;79:0.0021020175859602364","72:68;74:68;79:68","72:0.004903707060865736;74:0.0026979112618017165;79:0.0019835291556803414","0.0146484375","Yes"
"74","143.64223504502914","11.412326183045657","0.020263671875","0.03564453125","0.0048828125","2584","0.00019226083392875462","36","0.00019226083392875462","0","0.00019226083392875462","0.00019226083392875462","73:0.002454453792756911;75:0.0019440593187404487","73:68;75:68","73:0.0026979112618017165;75:0.00140691251535488","0.020263671875","Yes"
"75","284.6680102841058","332.2081632060671","0.005859375","0.0087890625","0.0029296875","2584","0.00016702759724127576","36","0.00016702759724127576","0","0.00016702759724127576","0.00016702759724127576","59:0.002547656700660733;74:0.0019440593187404487","59:68;74:68","59:0.0023182674291963024;74:0.00140691251535488","0.005859375","Yes"
"76","125.46658397511311","26.747317144739903","0.011962890625","0.01708984375","0.0068359375","2584","0.0004557776450964846","36","0.0004557776450964846","0","0.0004557776450964846","0.0004557776450964846","81:0.0027334005219336044;61:0.0019200083401684775","81:68;61:68","81:0.0028113991933834126;61:0.001913191565285327","0.011962890625","Yes"
"77","277.6648936524837","85.94184971042885","0.007568359375","0.013671875","0.00146484375","2584","0.00027816310028746274","36","0.00027816310028746274","0","0.00027816310028746274","0.00027816310028746274","85:0.0026496955537421707;65:0.0022045129778301975","85:68;65:68","85:0.003638101446794384;65:0.0015328060836495572","0.007568359375","Yes"
"78","141.23141206779573","92.35437966092354","0.009033203125","0.0146484375","0.00341796875","2584","0.0007063610065973256","36","0.0007063610065973256","0","0.0007063610065973256","0.0007063610065973256","69:0.0018448630008241762;89:0.0017134127083574535","69:68;89:68","69:0.0026115182389842284;89:0.0016632664311640177","0.009033203125","Yes"
"79","116.27002502939085","35.15016475920739","0.084716796875","0.09912109375","0.0703125","2584","0.0005376162961877162","36","0.0005376162961877162","0","0.0005376162961877162","0.0005376162961877162","93:0.0024359594013479147;73:0.0021020175859602364","93:68;73:68","93:0.0025627098499339807;73:0.0019835291556803414","0.084716796875","Yes"
"80","206.12473362575577","42.492624382980445","0.008056640625","0.013671875","0.00244140625","2584","0.0005019274449066059","36","0.0005019274449066059","0","0.0005019274449066059","0.0005019274449066059","81:0.003045761655540019","81:68","81:0.0028361697899246807","0.008056640625","Yes"
"81","196.67683877596735","232.23711213050964","0.0732421875","0.05810546875","0.08837890625","2584","0.00037287224602336645","36","0.00037287224602336645","0","0.00037287224602336645","0.00037287224602336645","80:0.003045761655540019;82:0.09323549120560648;76:0.0027334005219336044","80:68;82:68;76:68","80:0.0028361697899246807;76:0.0028113991933834126","0.0732421875","Yes"
"82","6.547268098197537","6.440762177221647","0.352783203125","0.37451171875","0.3310546875","2584","","36","","0","","","81:0.09323549120560648","81:68;83:68","83:0.001200718994030514","0.352783203125","Yes"
"83","249.83362600462112","253.43787608916955","0.19677734375","0.130859375","0.2626953125","2584","0.00027478946918000436","36","0.00027478946918000436","0","0.00027478946918000436","0.00027478946918000436","96:0.007222884041411692;84:0.0032027589136729984","96:68;82:68;84:68","96:0.007086460800954653;82:0.001200718994030514;84:0.002531686148323886","0.19677734375","Yes"
