"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"58","217.02864511537967","250.2285268345511","0.004638671875","0.00439453125","0.0048828125","2200","0.00012576095693370596","32","0.00012576095693370596","0","0.00012576095693370596","0.00012576095693370596","71:0.0010010795937113182;51:0.0009508947958070946","71:68;51:68","71:0.0011037901615711387;51:0.0016603929563771547","0.004638671875","0.004150390625","Yes"
"59","318.49253570639553","397.20299301206137","0.00927734375","0.0126953125","0.005859375","2200","0.00016203927468500374","32","0.00016203927468500374","0","0.00016203927468500374","0.00016203927468500374","55:0.001510798851585532;75:0.0018938673764053449","55:68;75:68","55:0.0013334035876946537;75:0.0011903846858153377","0.00927734375","0.00634765625","Yes"
"60","234.82942109417414","278.1018040245705","0.002685546875","0.00341796875","0.001953125","2200","0.0002092940536343652","32","0.0002092940536343652","0","0.0002092940536343652","0.0002092940536343652","61:0.00173526370771937","61:68","61:0.0009242832798753986","0.002685546875","0.00439453125","Yes"
"61","276.53650809203356","283.505072849504","0.009521484375","0.00732421875","0.01171875","2200","0.00017190963102746724","32","0.00017190963102746724","0","0.00017190963102746724","0.00017190963102746724","76:0.0012100539907906882;60:0.00173526370771937;62:0.002416456128584543","76:68;60:68;62:68","76:0.0010211847255389428;60:0.0009242832798753986;62:0.0009270399051705958","0.009521484375","0.002197265625","Yes"
"62","334.72602888174094","307.6803068740515","0.0029296875","0.00244140625","0.00341796875","2200","0.00009021554628778685","32","0.00009021554628778685","0","0.00009021554628778685","0.00009021554628778685","61:0.002416456128584543;63:0.0009167069065189604","61:68;63:68","61:0.0009270399051705958;63:0.0008565089902211331","0.0029296875","0.002685546875","Yes"
"63","387.6598443250169","445.22194722640694","0.002197265625","0.00244140625","0.001953125","2200","0.00011880337149232164","32","0.00011880337149232164","0","0.00011880337149232164","0.00011880337149232164","56:0.0016545389737614158;62:0.0009167069065189604;64:0.0026459615811642023","56:68;62:68;64:68","56:0.0015100137830648397;62:0.0008565089902211331;64:0.0022146785285019344","0.002197265625","0.001953125","Yes"
"64","29.667654634315063","52.11101443210386","0.009765625","0.01904296875","0.00048828125","2200","0.0004875415841575552","32","0.0004875415841575552","0","0.0004875415841575552","0.0004875415841575552","65:0.0028283152867842054;63:0.0026459615811642023","65:68;63:68","65:0.0025032005113079514;63:0.0022146785285019344","0.009765625","0.006591796875","Yes"
"65","327.5275910380798","326.63008152994917","0.0185546875","0.0009765625","0.0361328125","2200","0.00012496418149183003","32","0.00012496418149183003","0","0.00012496418149183003","0.00012496418149183003","64:0.0028283152867842054;66:0.0008556225442481746;77:0.0010828275766263384","64:68;66:68;77:68","64:0.0025032005113079514;66:0.0013587332133388474;77:0.000920048159480269","0.0185546875","0.021240234375","Yes"
"66","282.57262371750124","256.09812911710134","0.0078125","0.01171875","0.00390625","2200","0.0001121034524903458","32","0.0001121034524903458","0","0.0001121034524903458","0.0001121034524903458","65:0.0008556225442481746;67:0.003242915674178254","65:68;67:68","65:0.0013587332133388474;67:0.0026278148692624737","0.0078125","0.00341796875","Yes"
"67","349.28076465271334","435.25779837863683","0.00146484375","0.0029296875","0","2200","0.00008189519525414098","32","0.00008189519525414098","0","0.00008189519525414098","0.00008189519525414098","68:0.0008908022592805931;57:0.0008228572903865861;66:0.003242915674178254","68:68;57:68;66:68","68:0.0014442920495129907;57:0.0015549766796930098;66:0.0026278148692624737","0.00146484375","0.00146484375","Yes"
