"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"67","332.91763287657267","258.01290254516084","0.03564453125","0.0283203125","0.04296875","2400","0.00023485896526125177","32","0.00023485896526125177","0","0.00023485896526125177","0.00023485896526125177","68:0.001387284364479574;77:0.0025916375340834796;57:0.00454023527836131","68:188;77:208;57:308;66:68","0.03564453125","Yes"
"68","333.607627150083","258.9778463573016","0.034912109375","0.01611328125","0.0537109375","2400","0.0003015946533390931","32","0.0003015946533390931","0","0.0003015946533390931","0.0003015946533390931","67:0.001387284364479574;58:0.0024115869428806558;69:0.002848922426388678","67:188;58:248;69:168;78:228","0.034912109375","Yes"
"69","195.1698767318416","117.67918673914681","0.015869140625","0.01416015625","0.017578125","2400","0.00021805048530726124","32","0.00021805048530726124","0","0.00021805048530726124","0.00021805048530726124","68:0.002848922426388678;59:0.001516015643480334;79:0.00398785642292665","68:168;59:128;79:188","0.015869140625","Yes"
"70","337.27664658645284","352.08633257971485","0.00927734375","0.01318359375","0.00537109375","2400","0.000225597064009467","32","0.000225597064009467","0","0.000225597064009467","0.000225597064009467","60:0.002957721941552277;71:0.0017665061676607474;80:0.004932437362436787","60:128;71:68;80:208","0.00927734375","Yes"
"71","115.58533215168329","127.20563094641994","0.030517578125","0.01220703125","0.048828125","2400","0.00037466889151674306","32","0.00037466889151674306","0","0.00037466889151674306","0.00037466889151674306","72:0.0020673688628062015;81:0.004061559354197719;61:0.004170427415659289;70:0.0017665061676607474","72:128;81:208;61:188;70:68","0.030517578125","Yes"
"72","324.4165367935641","257.244497940832","0.0390625","0.029296875","0.048828125","2400","0.000159671445257913","32","0.000159671445257913","0","0.000159671445257913","0.000159671445257913","73:0.0018276559662269154;62:0.0014545885274561687;82:0.0044933663583901495;71:0.0020673688628062015","73:128;62:128;82:188;71:128","0.0390625","Yes"
"73","147.969051992894","308.922407103926","0.03857421875","0.0478515625","0.029296875","2400","0.00022934444682870783","32","0.00022934444682870783","0","0.00022934444682870783","0.00022934444682870783","72:0.0018276559662269154;74:0.003105752241323506;63:0.0036064763398420963","72:128;74:288;83:168;63:148","0.03857421875","Yes"
"74","157.97406996335823","219.7930131448565","0.029541015625","0.04736328125","0.01171875","2400","0.0001253003951776526","32","0.0001253003951776526","0","0.0001253003951776526","0.0001253003951776526","73:0.003105752241323506;75:0.038382809918526495;64:0.0024656365971906236","73:288;75:128;84:168;64:208","0.029541015625","Yes"
"75","421.2050302487577","208.59629853839579","0.008056640625","0.009765625","0.00634765625","2400","0.00039329679359660305","32","0.00039329679359660305","0","0.00039329679359660305","0.00039329679359660305","74:0.038382809918526495;76:0.002909978448657452;85:0.007547781512947688;65:0.002819782427754103","74:128;76:148;85:128;65:208","0.008056640625","Yes"
"76","298.69031481271594","219.17108367829638","0.012939453125","0.0146484375","0.01123046875","2400","0.0002278270931364117","32","0.0002278270931364117","0","0.0002278270931364117","0.0002278270931364117","75:0.002909978448657452;77:0.0024310488119815288;66:0.0027843650894407157;86:0.004156563467041491","75:148;77:148;66:228;86:168","0.012939453125","Yes"
"77","414.333956408547","275.0368244472697","0.011962890625","0.01318359375","0.0107421875","2400","0.00021439361630747156","32","0.00021439361630747156","0","0.00021439361630747156","0.00021439361630747156","67:0.0025916375340834796;78:0.0021189475326170715;87:0.0017993010298821832;76:0.0024310488119815288","67:208;78:208;87:248;76:148","0.011962890625","Yes"
"78","169.38379763357926","197.0213727463341","0.009033203125","0.009765625","0.00830078125","2400","0.00044161507273674693","32","0.00044161507273674693","0","0.00044161507273674693","0.00044161507273674693","77:0.0021189475326170715;79:0.0031504427688817116;88:0.0037160112542017343","77:208;79:288;88:268;68:228","0.009033203125","Yes"
"79","341.9932950572561","382.38418961286595","0.015625","0.017578125","0.013671875","2400","0.0007194050050350343","32","0.0007194050050350343","0","0.0007194050050350343","0.0007194050050350343","78:0.0031504427688817116;89:0.004620658559807644;69:0.00398785642292665","78:288;89:68;69:188","0.015625","Yes"
"80","246.69979432885575","202.56612926660202","0.013427734375","0.02001953125","0.0068359375","2400","0.00028972125705108566","32","0.00028972125705108566","0","0.00028972125705108566","0.00028972125705108566","81:0.0022536127359124303;90:0.0018700659337676229;70:0.004932437362436787","81:128;90:88;70:208","0.013427734375","Yes"
"81","275.5345216522643","218.20158467785737","0.022705078125","0.037109375","0.00830078125","2400","0.0001339987922664862","32","0.0001339987922664862","0","0.0001339987922664862","0.0001339987922664862","80:0.0022536127359124303;82:0.0011949087900904598;71:0.004061559354197719;91:0.0013259405453452944","80:128;82:68;71:208;91:88","0.022705078125","Yes"
"82","132.77260417797686","157.07043369783","0.03173828125","0.06103515625","0.00244140625","2400","0.00026826330000744123","32","0.00026826330000744123","0","0.00026826330000744123","0.00026826330000744123","72:0.0044933663583901495;81:0.0011949087900904598;83:0.002761672411734112;92:0.004532690827826508","72:188;81:68;83:68;92:168","0.03173828125","Yes"
