"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"40","185.21240467004554","179.08244572435552","0.032958984375","0.03857421875","0.02734375","1560","0.0003047364570732021","32","0.0003047364570732021","0","0.0003047364570732021","0.0003047364570732021","41:0.11302776948524525;34:0.002387379347446289;39:0.0016564357324455325","41:68;34:96;39:68","41:0.10060824559295542;34:0.0026469447667843704;39:0.0018209313587186637","0.032958984375","Yes"
"41","23.35314229887196","58.25057965828797","0.12353515625","0.1767578125","0.0703125","1560","0.055320009345657374","32","0.055320009345657374","0","0.055320009345657374","0.055320009345657374","40:0.11302776948524525","40:68;42:68","40:0.10060824559295542;42:0.09831350923582466","0.12353515625","Yes"
"42","317.2614838182657","198.61269823803107","0.133544921875","0.1357421875","0.13134765625","1560","0.00034814581519241423","32","0.00034814581519241423","0","0.00034814581519241423","0.00034814581519241423","43:0.0033393833288608288;54:0.002431603353010542","41:68;43:68;54:80","41:0.09831350923582466;43:0.0037543831029778207;54:0.0022616434397347007","0.133544921875","Yes"
"43","55.999351157796994","59.70074632534555","0.029541015625","0.03515625","0.02392578125","1560","0.0007275876652755093","32","0.0007275876652755093","0","0.0007275876652755093","0.0007275876652755093","42:0.0033393833288608288","42:68;44:68","42:0.0037543831029778207","0.029541015625","Yes"
"44","270.5367333365172","102.22556594901425","0.05419921875","0.0244140625","0.083984375","1560","0.0001643583883703018","32","0.0001643583883703018","0","0.0001643583883703018","0.0001643583883703018","45:0.002803358749648599","45:68;35:108;43:68","45:0.0053362333987849175","0.05419921875","Yes"
"45","47.63359395201188","52.81049900640428","0.0224609375","0.0283203125","0.0166015625","1560","0.00037920718930669077","32","0.00037920718930669077","0","0.00037920718930669077","0.00037920718930669077","44:0.002803358749648599;46:0.0034589899893998632","44:68;46:68","44:0.0053362333987849175;46:0.0031790300771060986","0.0224609375","Yes"
"46","156.95277473144307","156.03017817479787","0.107421875","0.11572265625","0.09912109375","1560","0.00029555017787623235","32","0.00029555017787623235","0","0.00029555017787623235","0.00029555017787623235","45:0.0034589899893998632;47:0.0032046137472653002;55:0.002274305595279441","45:68;47:68;55:68","45:0.0031790300771060986;47:0.0034683564800194744;55:0.0029905299309711253","0.107421875","Yes"
"47","220.40766249212965","70.78037067752062","0.037109375","0.06201171875","0.01220703125","1560","0.0004769925497874978","32","0.0004769925497874978","0","0.0004769925497874978","0.0004769925497874978","48:0.00274848841096359;46:0.0032046137472653002","48:68;46:68","48:0.00207260228780598;46:0.0034683564800194744","0.037109375","Yes"
"48","210.80920171397688","260.12180486704705","0.037841796875","0.03759765625","0.0380859375","1560","0.0002792366251931676","32","0.0002792366251931676","0","0.0002792366251931676","0.0002792366251931676","36:0.002300880602687433;47:0.00274848841096359;49:0.0021681344011790504","36:68;47:68;49:68","36:0.002494528107780891;47:0.00207260228780598;49:0.001888740745358497","0.037841796875","Yes"
"49","225.97789548314097","131.62932844377684","0.053955078125","0.04443359375","0.0634765625","1560","0.00020945242332804317","32","0.00020945242332804317","0","0.00020945242332804317","0.00020945242332804317","48:0.0021681344011790504;50:0.00212737066821983","48:68;50:68","48:0.001888740745358497;50:0.0016799131067867235","0.053955078125","Yes"
