"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"57","134.40972501700483","66.96142668526477","0.0140380859375","0.02294921875","0.005126953125","1560","0.0004446499764065797","24","0.0004446499764065797","0","0.0004446499764065797","0.0004446499764065797","47:68;67:68","47:0.003335175269909285;67:0.014147314356880547","47:0.011890676613942164;67:0.01061834819933305","0.0140380859375","Yes"
"58","77.36543149267746","53.107877604907145","0.0106201171875","0.0185546875","0.002685546875","1560","0.000511312440404291","24","0.000511312440404291","0","0.000511312440404291","0.000511312440404291","71:68;51:68","71:0.002452308161831146;51:0.0027633554844753716","71:0.0018322210644968195;51:0.0017899824360909922","0.0106201171875","Yes"
"59","121.36035679838967","121.70686463580903","0.0107421875","0.01318359375","0.00830078125","1560","0.0003657300521408238","24","0.0003657300521408238","0","0.0003657300521408238","0.0003657300521408238","55:68;75:68","55:0.0025192492881051243;75:0.002114343523494211","55:0.002257146491640799;75:0.002399305823002018","0.0107421875","Yes"
"60","140.99671374616906","41.189486069899324","0.05029296875","0.058837890625","0.041748046875","1560","0.0003354532295048468","24","0.0003354532295048468","0","0.0003354532295048468","0.0003354532295048468","61:68","61:0.001533103543107206","61:0.0015762266732114172","0.05029296875","Yes"
"61","197.32208939194422","99.57156148826658","0.063232421875","0.0712890625","0.04345703125","1560","0.000372591080151152","24","0.000372591080151152","0","0.000372591080151152","0.000372591080151152","76:68;60:68;62:68","76:0.002342595614247961;60:0.001533103543107206;62:0.0028320117298401837","76:0.0033350478050175603;60:0.0015762266732114172;62:0.00207675613004607","0.063232421875","Yes"
"62","153.30624964622956","51.988847844762574","0.0302734375","0.03125","0.029296875","1560","0.0003745918187513023","24","0.0003745918187513023","0","0.0003745918187513023","0.0003745918187513023","61:68;63:68","61:0.0028320117298401837;63:0.005610292554838636","61:0.00207675613004607;63:0.00817526633031157","0.0302734375","Yes"
"63","170.3103702218891","17.71067337565315","0.04296875","0.053466796875","0.032470703125","1560","0.0005292277370104862","24","0.0005292277370104862","0","0.0005292277370104862","0.0005292277370104862","56:68;62:68;64:68","56:0.0042971235067321145;62:0.005610292554838636;64:0.049028562835731204","56:0.005389968652357274;62:0.00817526633031157;64:0.08817465871183147","0.04296875","Yes"
"64","77.03855712807496","58.838674176204826","0.005615234375","0.010009765625","0.001220703125","1560","0.00033350495213340384","24","0.00033350495213340384","0","0.00033350495213340384","0.00033350495213340384","65:68;63:68","65:0.0031099476347759003;63:0.049028562835731204","65:0.003303811748629204;63:0.08817465871183147","0.005615234375","Yes"
"65","159.3949481754639","96.78256529011686","0.083251953125","0.09228515625","0.07421875","1560","0.00038495933536508204","24","0.00038495933536508204","0","0.00038495933536508204","0.00038495933536508204","64:68;66:68;77:68","64:0.0031099476347759003;66:0.002253189946066131;77:0.004146782198476473","64:0.003303811748629204;66:0.00324938931987101;77:0.003504017543825233","0.083251953125","Yes"
"66","77.24081546720342","16.324231953301357","0.0089111328125","0.009521484375","0.00830078125","1560","0.0002729801436487806","24","0.0002729801436487806","0","0.0002729801436487806","0.0002729801436487806","65:68;67:68","65:0.002253189946066131;67:0.0030649478681231968","65:0.00324938931987101;67:0.0024729804697428692","0.0089111328125","Yes"
"67","112.57538471579198","57.2976429032947","0.064208984375","0.07861328125","0.0498046875","1560","0.0002813750554415416","24","0.0002813750554415416","0","0.0002813750554415416","0.0002813750554415416","68:68;57:68;66:68","68:0.0032950702556793776;57:0.014147314356880547;66:0.0030649478681231968","68:0.002744306262286389;57:0.01061834819933305;66:0.0024729804697428692","0.064208984375","Yes"
"68","74.8369385945913","75.33171196457282","0.0096435546875","0.012939453125","0.00634765625","1560","0.0002863255628251054","24","0.0002863255628251054","0","0.0002863255628251054","0.0002863255628251054","67:68;69:68","67:0.0032950702556793776;69:0.0036610517566654233","67:0.002744306262286389;69:0.0039182103313176175","0.0096435546875","Yes"
"69","151.97561700504963","76.54269814806501","0.0308837890625","0.042724609375","0.01904296875","1560","0.00025586970792614515","24","0.00025586970792614515","0","0.00025586970792614515","0.00025586970792614515","78:68;68:68;70:68","78:0.0022502791493133334;68:0.0036610517566654233;70:0.0050603764452585576","78:0.0027721837628066626;68:0.0039182103313176175;70:0.0037279956856977603","0.0308837890625","Yes"
"70","109.48445454179702","96.51704450122297","0.006591796875","0.01123046875","0.001953125","1560","0.0003630289162801211","24","0.0003630289162801211","0","0.0003630289162801211","0.0003630289162801211","69:68;71:68","69:0.0050603764452585576;71:0.0027647699270529347","69:0.0037279956856977603;71:0.0030304560050031237","0.006591796875","Yes"
"71","191.1210928028487","138.95364388654468","0.0123291015625","0.016357421875","0.00830078125","1560","0.0003323439642907411","24","0.0003323439642907411","0","0.0003323439642907411","0.0003323439642907411","72:68;58:68;70:68","58:0.002452308161831146;70:0.0027647699270529347","72:0.24517966022542528;58:0.0018322210644968195;70:0.0030304560050031237","0.0123291015625","Yes"
"72","10.459335419923361","99.15649886504495","0.4815673828125","0.257568359375","0.70556640625","1560","","24","","0","","","73:68;71:68","","73:0.007485900396601214;71:0.24517966022542528","0.4815673828125","Yes"
"73","186.54959511327294","72.43636370286438","0.0814208984375","0.070556640625","0.09228515625","1560","0.0003604318767629485","24","0.0003604318767629485","0","0.0003604318767629485","0.0003604318767629485","72:68;74:68;79:68","74:0.002156641492527367;79:0.002803988277682884","72:0.007485900396601214;74:0.0019866439202453623;79:0.01797040907462824","0.0814208984375","Yes"
